transaction_id,date,product,region,channel,units,unit_price_gbp,discount_pct,inventory_on_hand,lead_time_days,customer_satisfaction,delivery_delay_days,gross_revenue_gbp,net_revenue_gbp,cost_gbp,profit_gbp
TXN-000153,2025-08-30,Enterprise,US,Direct,2,245,0.006,174,2.0,3.25,1.0,490,487.06,307.76,179.3
TXN-000154,2025-11-25,Enterprise,UAE,Partner,6,245,0.079,91,28.0,4.92,3.0,1470,1353.87,804.88,548.99
TXN-000155,2025-08-03,Enterprise,India,Partner,1,245,0.006,141,11.0,4.5,2.0,245,243.53,140.55,102.98
TXN-000156,2025-08-06,Core,Germany,Direct,2,45,0.038,248,20.0,4.14,0.0,90,86.58,55.84,30.74
TXN-000157,2026-01-02,Plus,India,Online,2,75,0.177,212,18.0,4.19,0.0,150,123.45,78.34,45.11
TXN-000158,2024-05-14,Plus,India,Online,1,75,0.035,57,16.0,3.94,5.0,75,72.38,31.16,41.22
TXN-000159,2025-04-28,Core,India,Partner,1,45,0.017,319,28.0,4.37,4.0,45,44.24,24.64,19.6
TXN-000160,2024-11-26,Plus,Germany,Direct,10,75,0.037,277,12.0,3.77,6.0,750,722.25,335.86,386.39
TXN-000161,2026-02-12,Plus,Germany,Online,3,75,0.039,144,6.0,4.67,3.0,225,216.22,96.88,119.34
TXN-000162,2025-05-01,Premium,UK,Direct,4,125,0.019,241,33.0,5.0,2.0,500,490.5,288.74,201.76
TXN-000163,2024-11-26,Enterprise,US,Online,4,245,0.026,23,28.0,4.21,0.0,980,954.52,568.21,386.31
TXN-000164,2024-06-07,Core,UK,Partner,1,45,0.047,51,2.0,3.9,0.0,45,42.88,28.33,14.55
TXN-000165,2025-09-13,Enterprise,India,Online,2,245,0.078,17,19.0,4.51,0.0,490,451.78,200.25,251.53
TXN-000166,2026-03-25,Enterprise,UK,Online,2,245,0.037,239,34.0,2.57,0.0,490,471.87,309.78,162.09
TXN-000167,2025-08-12,Plus,India,Online,6,75,0.042,310,14.0,4.43,3.0,450,431.1,260.79,170.31
TXN-000168,2024-01-28,Enterprise,UK,Online,1,245,0.103,285,31.0,3.92,2.0,245,219.76,136.71,83.05
TXN-000169,2024-03-31,Premium,India,Online,9,125,0.017,200,30.0,3.82,3.0,1125,1105.88,667.18,438.7
TXN-000170,2025-06-14,Core,UK,Direct,2,45,0.02,215,18.0,4.35,4.0,90,88.2,55.24,32.96
TXN-000171,2024-01-16,Plus,Germany,Partner,1,75,0.082,227,17.0,3.69,-0.0,75,68.85,40.13,28.72
TXN-000172,2025-02-18,Premium,UK,Direct,2,125,0.087,49,5.0,3.95,1.0,250,228.25,146.57,81.68
TXN-000173,2026-05-11,Premium,UAE,Online,1,125,0.102,117,7.0,,2.0,125,112.25,71.64,40.61
TXN-000174,2024-01-09,Core,UK,Online,2,45,0.014,237,19.0,4.79,0.0,90,88.74,46.07,42.67
TXN-000175,2024-05-15,Enterprise,UK,Direct,4,245,0.056,135,34.0,3.3,5.0,980,925.12,415.75,509.37
TXN-000176,2025-10-24,Premium,UK,Direct,1,125,0.036,138,33.0,4.34,2.0,125,120.5,52.14,68.36
TXN-000177,2025-06-06,Premium,US,Partner,6,125,0.088,318,4.0,3.71,1.0,750,684.0,430.46,253.54
TXN-000178,2024-12-08,Core,UK,Online,1,45,0.007,280,21.0,3.46,0.0,45,44.68,22.8,21.88
TXN-000179,2025-10-08,Premium,UAE,Direct,6,125,0.056,80,21.0,4.86,3.0,750,708.0,312.27,395.73
TXN-000180,2025-12-04,Core,UAE,Partner,4,45,0.024,189,24.0,5.0,3.0,180,175.68,94.95,80.73
TXN-000181,2024-11-14,Premium,India,Partner,1,125,0.007,5,11.0,3.88,4.0,125,124.12,79.23,44.89
TXN-000182,2024-02-02,Plus,UK,Online,1,75,0.096,173,21.0,4.79,2.0,75,67.8,34.28,33.52
TXN-000183,2024-10-06,Premium,UAE,Online,2,125,0.12,76,34.0,3.38,3.0,250,220.0,120.84,99.16
TXN-000184,2025-11-10,Plus,UK,Direct,2,75,0.035,290,22.0,3.99,3.0,150,144.75,84.54,60.21
TXN-000185,2024-05-22,Plus,UAE,Partner,1,75,0.02,289,31.0,4.13,3.0,75,73.5,33.87,39.63
TXN-000186,2025-10-15,Plus,UK,Direct,3,75,0.052,138,26.0,4.34,3.0,225,213.3,103.76,109.54
TXN-000187,2025-05-18,Premium,UK,Online,2,125,0.038,11,20.0,4.3,4.0,250,240.5,145.4,95.1
TXN-000188,2024-02-27,Plus,UK,Partner,3,75,0.054,134,26.0,3.67,4.0,225,212.85,129.58,83.27
TXN-000189,2025-09-10,Premium,UK,Direct,2,125,0.058,114,28.0,3.92,1.0,250,235.5,127.45,108.05
TXN-000190,2025-12-08,Core,UK,Direct,10,45,0.048,279,26.0,3.6,2.0,450,428.4,257.29,171.11
TXN-000191,2024-11-27,Premium,US,Online,2,125,0.037,183,26.0,4.43,0.0,250,240.75,141.82,98.93
TXN-000192,2025-03-19,Plus,US,Direct,3,75,0.045,178,20.0,3.94,1.0,225,214.88,134.18,80.7
TXN-000193,2024-04-22,Core,UAE,Partner,1,45,0.043,80,12.0,3.74,1.0,45,43.06,22.72,20.34
TXN-000194,2025-03-14,Enterprise,UK,Direct,2,245,0.044,157,6.0,2.36,0.0,490,468.44,295.95,172.49
TXN-000195,2025-07-04,Plus,India,Online,1,75,0.023,10,21.0,3.34,1.0,75,73.27,38.96,34.31
TXN-000196,2024-03-03,Plus,Germany,Direct,9,75,0.006,72,2.0,4.95,0.0,675,670.95,427.58,243.37
TXN-000197,2024-12-25,Core,India,Direct,4,45,0.047,8,8.0,4.18,6.0,180,171.54,101.76,69.78
TXN-000198,2024-10-27,Plus,UK,Online,4,75,0.04,49,33.0,5.0,4.0,300,288.0,137.79,150.21
TXN-000199,2025-05-23,Premium,UK,Online,2,125,0.012,175,17.0,5.0,3.0,250,247.0,108.3,138.7
TXN-000200,2024-02-18,Core,India,Online,6,45,0.086,82,20.0,2.71,1.0,270,246.78,129.05,117.73
TXN-000201,2026-03-17,Core,UK,Direct,3,45,0.026,34,29.0,3.98,1.0,135,131.49,77.21,54.28
TXN-000202,2024-12-09,Plus,US,Direct,3,75,0.069,159,23.0,4.58,1.0,225,209.48,101.07,108.41
TXN-000203,2025-05-14,Premium,India,Online,2,125,0.017,119,10.0,3.31,0.0,250,245.75,152.56,93.19
TXN-000204,2024-10-29,Premium,US,Partner,3,125,0.06,283,7.0,4.22,1.0,375,352.5,205.29,147.21
TXN-000205,2024-05-15,Core,India,Online,3,45,0.037,129,27.0,3.43,0.0,135,130.0,73.22,56.78
TXN-000206,2024-08-20,Plus,Germany,Online,2,75,0.03,225,10.0,4.71,0.0,150,145.5,65.61,79.89
TXN-000207,2024-01-12,Core,India,Direct,3,45,0.038,125,12.0,2.93,5.0,135,129.87,80.64,49.23
TXN-000208,2024-05-26,Plus,UK,Online,3,75,0.066,80,20.0,4.16,3.0,225,210.15,106.64,103.51
TXN-000209,2026-05-14,Premium,UK,Online,4,125,0.034,292,16.0,4.53,1.0,500,483.0,229.84,253.16
TXN-000210,2024-08-10,Core,India,Partner,3,45,0.014,274,16.0,4.64,0.0,135,133.11,63.09,70.02
TXN-000211,2024-10-15,Plus,UK,Direct,4,75,0.051,288,2.0,3.43,0.0,300,284.7,189.45,95.25
TXN-000212,2025-02-21,Premium,US,Online,5,125,0.067,244,32.0,4.09,1.0,625,583.12,252.9,330.22
TXN-000213,2026-03-11,Plus,Germany,Direct,3,75,0.116,183,17.0,4.32,2.0,225,198.9,89.92,108.98
TXN-000214,2024-01-28,Premium,US,Direct,4,125,0.128,53,12.0,4.9,1.0,500,436.0,265.66,170.34
TXN-000215,2024-12-08,Premium,India,Online,1,125,0.013,302,14.0,4.46,2.0,125,123.38,67.29,56.09
TXN-000216,2026-01-05,Plus,India,Partner,3,75,0.139,229,30.0,5.0,6.0,225,193.72,126.28,67.44
TXN-000217,2024-04-17,Plus,Germany,Online,4,75,0.0,228,3.0,4.07,2.0,300,300.0,181.4,118.6
TXN-000218,2025-12-20,Plus,UK,Online,5,75,0.078,20,33.0,4.27,1.0,375,345.75,211.91,133.84
TXN-000219,2025-06-06,Plus,UK,Partner,7,75,0.05,161,30.0,3.5,2.0,525,498.75,311.61,187.14
TXN-000220,2025-03-27,Plus,US,Direct,4,75,0.039,52,29.0,3.97,-0.0,300,288.3,171.6,116.7
TXN-000221,2024-10-28,Core,India,Direct,2,45,0.042,82,31.0,3.45,0.0,90,86.22,51.0,35.22
TXN-000222,2026-04-20,Premium,US,Online,7,125,0.008,251,7.0,3.13,1.0,875,868.0,517.06,350.94
TXN-000223,2025-02-21,Core,UAE,Direct,1,45,0.046,54,29.0,5.0,4.0,45,42.93,21.59,21.34
TXN-000224,2025-11-29,Plus,UK,Direct,7,75,0.014,186,3.0,4.4,0.0,525,517.65,241.47,276.18
TXN-000225,2026-06-14,Plus,India,Direct,2,75,0.088,174,7.0,5.0,1.0,150,136.8,71.23,65.57
TXN-000226,2024-01-27,Premium,UAE,Partner,4,125,0.044,169,29.0,3.8,2.0,500,478.0,292.15,185.85
TXN-000227,2026-02-24,Premium,US,Direct,1,125,0.132,93,3.0,5.0,0.0,125,108.5,56.0,52.5
